## First column is array size, following are times in milliseconds
   1024 0.012000 0.011000 0.011000 0.011000 0.011000 0.011000 0.011000 0.010000 0.011000 0.010000
   2048 0.022000 0.021000 0.021000 0.020000 0.021000 0.021000 0.021000 0.020000 0.021000 0.021000
   4096 0.044000 0.043000 0.043000 0.042000 0.043000 0.043000 0.042000 0.043000 0.042000 0.043000
   8192 0.099000 0.107000 0.108000 0.108000 0.111000 0.108000 0.108000 0.108000 0.108000 0.108000
  16384 0.211000 0.230000 0.230000 0.231000 0.231000 0.232000 0.230000 0.231000 0.231000 0.228000
  32768 0.490000 0.510000 0.509000 0.509000 0.509000 0.508000 0.506000 0.508000 0.506000 0.512000
  65536 1.032000 1.060000 1.054000 1.053000 1.060000 1.061000 1.056000 1.056000 1.057000 1.060000
 131072 2.278000 2.186000 2.232000 2.182000 2.198000 2.190000 2.203000 2.198000 2.192000 2.182000
 262144 4.992000 5.029000 5.023000 5.018000 5.021000 5.028000 5.038000 5.025000 5.031000 5.025000
 524288 14.800000 14.529000 14.440000 14.430000 14.422000 14.425000 14.476000 14.680000 14.515000 14.486000
1048576 32.780000 32.414000 32.383000 32.426000 32.378000 32.427000 32.418000 32.362000 32.391000 32.343000
2097152 71.320000 70.458000 70.178000 71.738000 70.356000 70.356000 70.283000 71.833000 69.579000 72.824000
4194304 149.135000 147.664000 147.214000 145.744000 146.851000 147.581000 147.406000 146.948000 147.141000 147.732000
8388608 310.590000 324.379000 326.851000 324.140000 325.330000 320.924000 328.971000 323.913000 326.394000 323.145000
16777216 638.965000 638.622000 638.643000 638.044000 639.218000 640.219000 638.651000 632.947000 638.400000 637.670000
33554432 1293.195000 1351.344000 1352.259000 1347.111000 1349.506000 1354.949000 1346.319000 1368.404000 1359.421000 1339.208000
