## First column is array size, following are times in milliseconds
   1024 0.009000 0.009000 0.009000 0.009000 0.009000 0.009000 0.009000 0.009000 0.009000 0.009000
   2048 0.018000 0.018000 0.017000 0.017000 0.019000 0.017000 0.017000 0.017000 0.017000 0.017000
   4096 0.040000 0.035000 0.035000 0.034000 0.035000 0.034000 0.034000 0.034000 0.035000 0.078000
   8192 0.081000 0.088000 0.089000 0.089000 0.088000 0.088000 0.088000 0.089000 0.088000 0.090000
  16384 0.177000 0.200000 0.199000 0.200000 0.199000 0.203000 0.202000 0.258000 0.199000 0.192000
  32768 0.418000 0.443000 0.435000 0.437000 0.437000 0.434000 0.435000 0.437000 0.470000 0.437000
  65536 0.884000 0.893000 0.891000 0.929000 0.888000 0.893000 0.940000 0.930000 0.888000 0.891000
 131072 1.995000 1.965000 1.901000 1.881000 1.881000 1.874000 1.879000 1.888000 1.876000 1.876000
 262144 4.438000 4.497000 4.423000 4.589000 4.390000 4.433000 4.442000 4.390000 4.431000 4.385000
 524288 14.593000 13.553000 13.374000 13.395000 13.453000 13.427000 13.339000 13.340000 13.337000 13.325000
1048576 30.700000 30.365000 30.518000 30.412000 30.437000 30.424000 30.936000 30.434000 30.751000 30.399000
2097152 68.955000 67.185000 68.335000 66.981000 67.407000 67.740000 66.895000 67.091000 66.587000 67.625000
4194304 143.320000 143.471000 142.466000 141.846000 142.500000 141.907000 141.268000 143.048000 141.171000 141.352000
8388608 294.774000 313.360000 312.516000 314.107000 323.525000 313.809000 313.730000 313.889000 312.912000 313.212000
16777216 634.318000 631.586000 631.437000 631.646000 630.765000 630.634000 631.570000 632.699000 631.346000 630.621000
33554432 1250.609000 1335.134000 1328.628000 1337.971000 1331.022000 1335.745000 1336.884000 1338.326000 1332.827000 1331.765000
67108864 2714.621000 2730.908000 2733.727000 2733.439000 2732.467000 2732.662000 2730.012000 2738.538000 2738.899000 2741.195000
134217728 5622.511000 5548.431000 5531.579000 5536.949000 5534.028000 5545.334000 5539.650000 5547.678000 5548.461000 5556.732000
268435456 12854.081000 12647.281000 12682.598000 12638.973000 12664.237000 12677.986000 12665.669000 12781.389000 12665.642000 12645.529000
