## First column is array size, following are times in milliseconds
   1024 0.009000 0.008000 0.009000 0.009000 0.008000 0.008000 0.008000 0.008000 0.008000 0.008000
   2048 0.020000 0.017000 0.017000 0.016000 0.017000 0.017000 0.016000 0.017000 0.017000 0.017000
   4096 0.037000 0.035000 0.034000 0.034000 0.034000 0.034000 0.034000 0.034000 0.035000 0.034000
   8192 0.082000 0.092000 0.091000 0.090000 0.091000 0.090000 0.091000 0.090000 0.091000 0.090000
  16384 0.177000 0.175000 0.173000 0.204000 0.199000 0.174000 0.174000 0.174000 0.173000 0.173000
  32768 0.398000 0.434000 0.437000 0.437000 0.436000 0.441000 0.438000 0.431000 0.437000 0.436000
  65536 0.876000 0.870000 0.875000 0.867000 0.872000 0.868000 0.874000 0.867000 0.870000 0.879000
 131072 1.913000 2.026000 1.902000 1.859000 1.858000 1.853000 1.856000 1.849000 1.856000 1.859000
 262144 4.135000 4.112000 4.198000 4.117000 4.106000 4.109000 4.109000 4.105000 4.085000 4.333000
 524288 13.362000 13.454000 13.986000 13.708000 13.412000 13.440000 13.402000 15.024000 13.697000 14.073000
1048576 42.664000 30.296000 30.311000 30.195000 30.279000 30.128000 30.433000 30.295000 30.361000 30.227000
