## First column is array size, rest are times in milliseconds
     1024 0.031744 0.017408 0.017408 0.017408 0.017408 0.017408 0.017408 0.017408 0.016384 0.016384
     2048 0.025600 0.017408 0.017408 0.017408 0.016384 0.017408 0.017408 0.018432 0.017408 0.017408
     4096 0.025600 0.017408 0.017408 0.023552 0.024576 0.017408 0.017408 0.016384 0.017408 0.017408
     8192 0.031744 0.029696 0.029696 0.029696 0.029696 0.029696 0.029696 0.029696 0.029696 0.029696
    16384 0.099648 0.089408 0.029408 0.029344 0.029952 0.030464 0.030432 0.030048 0.030656 0.030304
    32768 0.038592 0.030144 0.031040 0.030624 0.323712 0.367392 0.069664 0.031840 0.030144 0.032480
    65536 0.071136 0.072320 0.047584 0.047168 0.047648 0.047072 0.048960 0.047328 0.045408 0.048896
   131072 0.108736 0.094304 0.110208 0.089184 0.090272 1.169568 0.101728 0.085728 0.090496 0.108256
   262144 0.203808 0.205568 0.196768 0.205536 0.212128 0.426432 0.213504 0.201920 0.209120 0.202208
   524288 0.458528 0.464480 0.463104 0.466592 0.471808 0.459872 0.467520 0.453824 0.697824 0.463200
  1048576 0.875552 0.892160 0.888480 0.891936 0.880768 0.885024 0.888992 0.964352 0.883936 0.859808
  2097152 1.752000 1.748512 1.754528 1.751616 1.755296 1.747648 1.755648 1.743424 1.740352 1.760288
  4194304 3.413408 3.413216 3.429696 3.435424 3.437312 3.406848 3.400256 3.413024 3.440928 3.704544
  8388608 6.745408 7.269120 7.261952 7.307072 6.765696 6.768288 6.757760 6.748512 7.319808 7.575488
 16777216 13.890816 13.913856 14.033344 14.065792 14.443264 13.899552 13.896480 13.918944 13.915552 14.496928
 33554432 28.038336 28.136353 27.756704 27.808096 28.507008 28.448608 28.035105 28.014816 27.754112 27.759775
 67108864 57.554497 57.051136 56.890430 56.826271 58.342976 56.343231 57.366817 56.891937 57.084545 57.195744
134217728 118.686302 118.794724 118.687454 118.227715 118.937859 118.272896 118.284607 118.863869 118.917763 118.282845
268435456 288.015381 287.658386 288.038116 287.768036 286.924835 287.494507 287.132812 286.690552 287.084290 286.709015
